Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
兵器,bīngqì,noun: weapon; weaponry,博物馆展出了许多古代兵器。,The museum displayed many ancient weapons.,Literary,More literary/formal than 武器; common in historical and fantasy contexts.,Unknown,7.4,
兵营,bīngyíng,noun: military camp; barracks,士兵们天亮前回到了兵营。,The soldiers returned to the military camp before dawn.,Literary,"Common in military, historical, and fantasy narratives.",Unknown,7.4,
病床,bìngchuáng,noun: hospital bed; sickbed,病人躺在病床上休息。,The patient was resting in the hospital bed.,Neutral Formal,Usually a bed for someone receiving medical care.,Band7,7.4,
病休,bìngxiū,verb: to take sick leave; to rest due to illness,他因为发高烧，今天病休在家。,He is taking sick leave at home today because of a high fever.,Neutral Formal,Used in schools and workplaces. 请病假 is more common in everyday speech.,Unknown,7.4,
播报,bōbào,"verb: to broadcast; to report
noun: broadcast report",主持人正在播报天气；我们刚听完新闻播报。,The presenter is broadcasting the weather; we have just finished listening to the news report.,Official,"Common for news, traffic, weather, sports, and public announcements.",Unknown,7.4,
补牙,bǔyá,verb: to fill a tooth; to have a cavity filled,我有一颗蛀牙，明天要去补牙。,I have a cavity and will go get it filled tomorrow.,Everyday,Usually refers to dental filling treatment for a cavity or damaged tooth.,Unknown,7.4,
不懂装懂,bù dǒng zhuāng dǒng,fixed expression: to pretend to understand when one does not,不懂就问，不要不懂装懂。,"If you do not understand, ask; do not pretend that you do.",Everyday,A criticism of someone who acts knowledgeable despite not understanding.,Unknown,7.4,
不输给,bù shūgěi,verb phrase: to be no less than; not to lose to,这家小店的味道一点也不输给大餐厅。,The food at this small shop is no less good than that of big restaurants.,Everyday,"Often used to say something is equally good as, or not inferior to, something else.",Unknown,7.4,
不算,bù suàn,"verb: not count; not be included
adjective: not really; not considered",这次不算，我们再来一次。,This time does not count; let us do it again.,Everyday,"Can mean excluding something from a total, or saying it does not qualify as something.",Band7,7.5,
不限,bùxiàn,verb: not limited; unrestricted,报名人数不限，任何人都可以参加。,The number of registrations is unlimited; anyone can take part.,Official,"Common in notices and advertisements: 不限年龄, 不限次数, 不限人数.",Unknown,7.5,
不用谢,bú yòng xiè,fixed expression: you’re welcome; no need to thank me,A：谢谢你帮忙。B：不用谢。,A: Thank you for helping. B: You’re welcome.,Everyday,A standard casual response to 谢谢. 不客气 is also common.,Unknown,7.5,
布料,bùliào,noun: fabric; cloth material,这件衣服的布料很柔软。,The fabric of this clothing is very soft.,Everyday,"Refers to material used to make clothes, curtains, bags, and similar items.",Unknown,7.5,
布熊,bùxióng,noun: stuffed bear; cloth teddy bear,小女孩抱着布熊睡觉。,The little girl sleeps hugging a stuffed bear.,Everyday,Usually a soft toy bear made of cloth.,Unknown,7.5,
彩带,cǎidài,noun: coloured ribbon; decorative streamer,礼物盒上系着一条红色彩带。,A red ribbon is tied around the gift box.,Everyday,"Used for decoration, gifts, celebrations, and performances.",Unknown,7.5,
彩云,cǎiyún,noun: coloured clouds; rosy clouds,傍晚的天空出现了美丽的彩云。,Beautiful coloured clouds appeared in the evening sky.,Literary,Often describes clouds lit by sunrise or sunset.,Unknown,7.5,
餐巾,cānjīn,noun: napkin; dining cloth,请给我一张餐巾。,Please give me a napkin.,Everyday,餐巾纸 means a paper napkin; 餐巾 can also mean a cloth napkin.,Unknown,7.5,
藏宝,cángbǎo,verb: to hide treasure; to store valuables,传说这座山里藏着宝；海盗把财宝藏宝在小岛上。,Legend says this mountain contains hidden treasure; the pirates hid their treasure on a small island.,Literary,"Usually appears as 藏宝图 “treasure map,” 藏宝地 “place where treasure is hidden,” or 藏着宝. 藏宝 alone is less common.",Unknown,7.5,
操心,cāoxīn,verb: to worry about; to take trouble over,你别为我的事操心，我能处理。,Do not worry about my matters; I can handle them.,Everyday,Often expresses concern or taking responsibility for someone/something.,Band7,7.5,
草船,cǎochuán,noun: straw boat; boat covered with straw,《三国演义》中有“草船借箭”的故事。,There is a story called “Borrowing Arrows with Straw Boats” in Romance of the Three Kingdoms.,Literary,"Mainly recognized through 草船借箭, a famous Three Kingdoms story.",Unknown,7.5,
插图,chātú,noun: illustration; inserted picture,这本儿童书里有很多彩色插图。,This children’s book has many colourful illustrations.,Everyday,"Images included in a book, article, textbook, or document to support the text.",Band7,7.5,
常客,chángkè,noun: regular customer; frequent visitor,他是这家咖啡店的常客。,He is a regular customer at this café.,Everyday,"Can refer to a frequent customer, visitor, or recurring participant.",Unknown,7.5,
炒蛋,chǎodàn,noun: scrambled eggs; stir-fried egg,我早餐做了番茄炒蛋。,I made tomato scrambled eggs for breakfast.,Everyday,Usually egg cooked by stir-frying. 番茄炒蛋 is a common home-style dish.,Unknown,7.5,
车灯,chēdēng,noun: vehicle light; car headlight,天黑了，请记得打开车灯。,It is getting dark; remember to turn on the car lights.,Everyday,"Can refer to headlights, brake lights, or other lights on a vehicle.",Unknown,7.5,
车队,chēduì,noun: convoy; fleet of vehicles,一支车队正缓慢地通过街道。,A convoy of vehicles is moving slowly through the street.,Neutral Formal,Usually a coordinated group of vehicles travelling together.,Unknown,7.5,
车链,chēliàn,noun: bicycle chain,这辆自行车的车链掉了。,The chain on this bicycle has come off.,Everyday,Usually shorthand for 自行车链条. 链条 is the general word for a chain.,Unknown,7.5,
车铃,chēlíng,noun: bicycle bell; vehicle bell,他按响车铃，提醒前面的人让路。,He rang the bicycle bell to remind the people ahead to make way.,Everyday,Usually a bell on a bicycle.,Unknown,7.5,
车资,chēzī,noun: fare; transport cost,公司会报销员工的车资。,The company will reimburse employees’ transport costs.,Neutral Formal,"Common in Singapore/Malaysia Chinese. In Mainland Chinese, 车费 is more common.",Unknown,7.5,
车座,chēzuò,"noun: vehicle seat
noun: bicycle saddle",请系好安全带，坐稳车座；这辆自行车的车座有点高。,Please fasten your seat belt and sit firmly in the seat; this bicycle’s saddle is a little high.,Everyday,Can refer to a seat in a vehicle or the saddle/seat of a bicycle.,Unknown,7.5,
成双,chéngshuāng,verb: to form a pair; to come in pairs,花园里的蝴蝶成双飞舞。,Butterflies in the garden flew in pairs.,Literary,"Often used in 成双成对, describing two things or people appearing as a pair.",Unknown,7.5,
城楼,chénglóu,noun: gate tower; city-wall tower,士兵站在城楼上守望。,The soldiers stood watch on the city gate tower.,Literary,"Common in historical, martial-arts, and fantasy settings.",Unknown,7.5,
城门,chéngmén,noun: city gate,天亮时，城门缓缓打开。,"At dawn, the city gate slowly opened.",Literary,Usually refers to a gate in a walled historical/fantasy city.,Unknown,7.5,
橙色,chéngsè,noun: orange; orange colour,她穿了一件橙色的外套。,She wore an orange-coloured coat.,Everyday,Standard word for the colour orange.,Unknown,7.5,
吃奶,chīnǎi,verb: to drink milk; to nurse,婴儿饿了，正在吃奶。,The baby is hungry and is nursing.,Everyday,Usually refers to a baby drinking breast milk or milk.,Unknown,7.5,
迟疑,chíyí,verb: to hesitate; to be uncertain,他迟疑了一会儿，才回答问题。,He hesitated for a moment before answering the question.,Neutral Formal,More formal than 犹豫 in some contexts; often describes a brief pause caused by uncertainty.,Band7,7.5,
抽水,chōushuǐ,"verb: to pump water
verb: to draw water",工人正在抽水排出积水；以前人们常从井里抽水。,"The workers are pumping water to drain the standing water; in the past, people often drew water from wells.",Everyday,"Can mean pumping water out or drawing water from a source, depending on context.",Unknown,7.5,
臭味,chòuwèi,noun: bad smell; stink,这双鞋有一股臭味。,These shoes have a bad smell.,Everyday,Similar to 臭气; 臭味 is especially common for an unpleasant smell from an object.,Unknown,7.5,
出兵,chūbīng,verb: to send troops; to deploy forces,国王决定出兵保护边关。,The king decided to send troops to protect the frontier.,Literary,"Common in military, historical, political, and fantasy contexts.",Unknown,7.5,
出场,chūchǎng,"verb: to enter the stage/field; to appear
verb: to be sent off from a match",主角一出场，观众就鼓掌；那名球员因犯规被罚出场。,"As soon as the main character appeared, the audience applauded; that player was sent off for a foul.",Everyday,"Can mean appearing in a performance/sport, or leaving a match because of a penalty.",Band6,7.5,
出车祸,chū chējìhuò,verb phrase: to have a traffic accident; to be in a car accident,他昨天上班路上出了车祸。,He had a traffic accident on his way to work yesterday.,Everyday,"Also commonly said as 出交通事故, especially in formal contexts.",Unknown,7.5,
出冷汗,chū lěnghàn,verb phrase: to break out in a cold sweat,听到这个消息后，他吓得直出冷汗。,"After hearing the news, he was so frightened that he broke out in a cold sweat.",Everyday,"Usually caused by fear, nervousness, shock, pain, or illness.",Unknown,7.5,
出头,chūtóu,"verb: to stand out; to get ahead
verb: to come forward for someone",他终于有了出头的机会；看到朋友受欺负，他决定出头帮忙。,"He finally got a chance to get ahead; seeing his friend bullied, he decided to step in and help.",Everyday,"Can mean becoming successful/prominent, or intervening to support someone.",Band7,7.5,
初一,chūyī,"noun: first day of the lunar month/year
noun: first year of junior secondary school",我们初一要去拜年；她今年读初一。,"On the first day of Lunar New Year, we will visit relatives; she is in her first year of junior secondary school.",Everyday,Meaning depends on context. 大年初一 is Lunar New Year’s Day.,Unknown,7.5,
穿行,chuānxíng,verb: to pass through; to weave through,汽车在繁忙的街道中穿行。,Cars weave through the busy streets.,Neutral Formal,"Usually describes movement through a place full of obstacles, people, or traffic.",Unknown,7.5,
传遍,chuánbiàn,verb: to spread throughout; to become known everywhere,这个好消息很快传遍了全校。,This good news quickly spread throughout the whole school.,Everyday,"Usually follows the area reached: 传遍全国, 传遍全城.",Unknown,7.5,
